Gene Id	SEQC-A TaqMan mean	SEQC-B TaqMan mean
ENSG00000056736	0.051598865	0.06418142
ENSG00000058866	0.01067778	0.82874834
ENSG00000059758	0.08134368	0.30822937
ENSG00000059915	0.039735425	2.40312325
ENSG00000063245	0.64036506	0.86737283
ENSG00000064300	0.068897275	0.21420657
ENSG00000064651	0.192135165	0.545873015
ENSG00000064835	0.00050608	0.00047983
ENSG00000065135	0.33774247	0.13603099
ENSG00000065457	0.2046145	0.12644427
ENSG00000065485	0.100591805	0.00785236
ENSG00000065970	0.32096556	0.53063771
ENSG00000066044	1.1822243	0.434477625
ENSG00000066056	0.021862705	0.064906915
ENSG00000066135	0.040531145	0.035248035
ENSG00000066455	0.626233325	0.524201425
ENSG00000066654	0.24700337	0.19500541
ENSG00000066697	0.33786283	0.179529085
ENSG00000066739	0.065397025	0.186897
ENSG00000066777	0.32707303	0.372546695
ENSG00000066923	0.05833933	0.00726534
ENSG00000067221	0.09488162	0.44177341
ENSG00000067533	0.716951335	0.32718358
ENSG00000067704	1.21664326	0.47367929
ENSG00000068120	0.55698174	0.28723764
ENSG00000068137	0.02599616	0.013912965
ENSG00000068323	0.32493249	0.45583818
ENSG00000068383	0.089195715	0.52667651
ENSG00000068971	0.14686735	0.80354755
ENSG00000069011	0.33322194	0.00047983
ENSG00000069943	0.085187795	0.024413015
ENSG00000070388	0.00038713	0.001253465
ENSG00000070501	0.17536699	0.308414505
ENSG00000070770	0.333921315	0.160164525
ENSG00000070814	0.76302725	0.27299934
ENSG00000070915	0.16292321	0.00040849
ENSG00000071246	0.0373862	0.170339175
ENSG00000071539	1.213471025	0.01051301
ENSG00000071553	0.241961345	0.455487755
ENSG00000071575	1.330075475	0.480420265
ENSG00000071991	0.021979225	0.16463696
ENSG00000072274	1.03401663	0.205091545
ENSG00000072506	1.22960921	0.27837052
ENSG00000072778	1.184150425	0.543421415
ENSG00000073578	0.72936398	0.66230988
ENSG00000073598	0.00052396	0.001807835
ENSG00000073734	0.000948675	0.00048939
ENSG00000073756	0.02877635	0.008975975
ENSG00000073921	0.71185155	0.97743708
ENSG00000075043	0.00049723	0.00047418
ENSG00000075213	0.17368955	0.05178168
ENSG00000075239	0.62376276	0.428043505
ENSG00000075275	0.04235566	0.000426865
ENSG00000075618	2.287129635	1.14777746
ENSG00000075945	0.880746375	0.801617825
ENSG00000076554	0.28032942	0.4948118
ENSG00000076604	0.510558295	0.10875267
ENSG00000076662	0.293238465	0.00338771
ENSG00000076924	0.941828485	0.875554745
ENSG00000077080	0.001084995	0.34150906
ENSG00000077150	0.483652605	0.1064511
ENSG00000077238	0.20217315	0.09488824
ENSG00000077498	2.658487855	0.000423895
ENSG00000077522	0.007117475	0.17058475
ENSG00000078140	0.364711425	0.4668327
ENSG00000078142	0.18258792	0.315023685
ENSG00000078401	0.12656331	0.25758502
ENSG00000078900	0.03327443	0.0275155
ENSG00000079102	0.00058943	0.106941465
ENSG00000079257	0.069999475	0.0146748
ENSG00000079739	0.384173995	0.29190753
ENSG00000080166	8.39479713	0.00210875
ENSG00000080986	0.321222535	0.00048363
ENSG00000081051	5.71254493	0.00044358
ENSG00000081800	0.00046296	0.00046434
ENSG00000082126	0.018258205	0.015612135
ENSG00000083750	0.122368285	0.28588322
ENSG00000083937	0.26894763	0.36950882
ENSG00000084207	11.66684171	3.537505845
ENSG00000084628	0.08935908	0.22989145
ENSG00000084674	9.516251255	0.00352065
ENSG00000084731	0.18450079	2.659068245
ENSG00000084774	1.14190808	0.18668415
ENSG00000085276	0.000595765	0.00047983
ENSG00000085563	0.03298217	0.14255715
ENSG00000086570	0.004397425	0.928201325
ENSG00000086696	0.17542528	0.00087774
ENSG00000086848	0.293255165	0.207540085
ENSG00000087245	1.590169825	0.02805869
ENSG00000087510	0.241124045	0.00437229
ENSG00000088543	0.03973589	0.19322364
ENSG00000088986	1.2236334	2.27589759
ENSG00000088992	0.406691345	0.35344596
ENSG00000089116	0.002021895	0.012879565
ENSG00000089199	0.023859835	2.359612105
ENSG00000089248	1.544131475	0.7962543
ENSG00000089685	1.640533455	0.00384377
ENSG00000090339	0.397673485	0.04434155
ENSG00000090621	2.738063365	0.536359645
ENSG00000090889	0.35964935	0.00341934
ENSG00000091262	0.03284091	0.001958375
ENSG00000091583	2.309614445	0.00048939
ENSG00000091651	0.24067296	0.023469485
ENSG00000091704	0.00042771	0.00032397
ENSG00000091879	0.0007086	0.04176521
ENSG00000092295	0.007795795	0.01220703
ENSG00000092531	0.502651115	0.164713075
ENSG00000093009	0.538063985	0.00097078
ENSG00000094755	0.00592913	0.00040984
ENSG00000095539	0.139265995	0.11688242
ENSG00000096006	0.02548986	0.00040984
ENSG00000096060	0.458676145	0.372735795
ENSG00000096063	0.618978585	0.2101897
ENSG00000096968	0.26324201	0.34397621
ENSG00000099622	2.1155804	3.886312345
ENSG00000099849	0.137610995	0.07568048
ENSG00000099957	0.051336125	0.09888433
ENSG00000100028	1.23178474	0.749522595
ENSG00000100029	1.627790455	0.788939515
ENSG00000100083	0.136783825	0.237588175
ENSG00000100095	0.01261837	0.543847965
ENSG00000100156	0.00046296	0.010017175
ENSG00000100197	0.00206647	0.00092126
ENSG00000100249	0.00044329	0.00048363
ENSG00000100321	0.535938405	4.36127526
ENSG00000100479	0.149304945	0.007610515
ENSG00000100528	1.623255485	1.116219025
ENSG00000100601	0.10003287	0.084177645
ENSG00000100604	0.011156285	2.922267245
ENSG00000100644	3.071517825	1.44927836
ENSG00000100908	0.01838066	0.01176675
ENSG00000100985	0.01125897	0.00481921
ENSG00000101115	0.14265667	0.00179848
ENSG00000101204	0.00425047	0.14650358
ENSG00000101442	0.031109125	0.03001733
ENSG00000101470	0.002526745	0.00040849
ENSG00000101638	0.008472655	0.532475385
ENSG00000101746	0.00251882	0.31242804
ENSG00000101751	0.036215035	0.04696039
ENSG00000101928	0.173895415	0.07170361
ENSG00000101986	0.08540015	0.011528935
ENSG00000102239	0.0006473	0.001408235
ENSG00000102539	0.00050608	0.00047983
ENSG00000102678	0.017743695	0.32587149
ENSG00000103035	1.670912295	0.901792275
ENSG00000103222	0.432093375	0.046411915
ENSG00000103254	0.07890962	0.075706745
ENSG00000103310	0.00037563	0.06100279
ENSG00000103351	0.106423695	0.206592515
ENSG00000103653	0.25832342	0.0854477
ENSG00000103769	1.079378755	0.894565125
ENSG00000103876	0.172951565	0.02703934
ENSG00000104067	0.18211427	0.176711755
ENSG00000104218	0.33312603	0.318218565
ENSG00000104327	0.017315025	1.550851925
ENSG00000104435	0.033676645	7.735866375
ENSG00000104447	0.296714395	0.31904948
ENSG00000104537	0.00071201	0.001385135
ENSG00000104660	0.526315085	0.512270885
ENSG00000104722	0.028934425	5.45552678
ENSG00000104808	0.002852035	0.00443501
ENSG00000104812	0.682491145	0.2492739
ENSG00000104907	0.534379305	0.218509505
ENSG00000104964	3.644973835	13.208713075
ENSG00000105053	0.13067538	0.10658193
ENSG00000105143	0.017079	0.908093755
ENSG00000105248	0.13528018	0.122459205
ENSG00000105374	0.001752965	0.00655879
ENSG00000105388	0.066467715	0.00048939
ENSG00000105523	0.00211833	0.001236835
ENSG00000105639	0.131779455	0.14978708
ENSG00000105679	0.00038713	0.00040984
ENSG00000105989	0.00037563	0.014374445
ENSG00000106004	0.02665553	0.000755955
ENSG00000106100	0.1110075	0.03820742
ENSG00000106153	9.450949815	5.15158642
ENSG00000106258	0.00132457	0.00032397
ENSG00000106328	0.00038713	0.00040984
ENSG00000106330	0.21335263	0.11437609
ENSG00000106367	0.83764834	0.76577846
ENSG00000106462	0.769627585	0.01410906
ENSG00000106536	0.018959145	0.04103127
ENSG00000106565	0.00317566	0.09443917
ENSG00000106571	0.45847242	0.230848855
ENSG00000106829	0.13075019	0.459549175
ENSG00000106852	0.003268745	0.115100395
ENSG00000106927	3.332331095	0.000810915
ENSG00000106952	0.00037878	0.00309563
ENSG00000107262	0.4895688	0.460623555
ENSG00000107331	0.506748755	3.587555065
ENSG00000107833	0.61824517	0.09118597
ENSG00000107874	0.58320629	1.036030785
ENSG00000107968	0.00897296	0.009534115
ENSG00000108179	0.361416075	0.14910596
ENSG00000108231	0.01182592	0.648834625
ENSG00000108309	0.019426495	3.15733256
ENSG00000108352	0.109302635	0.68318064
ENSG00000108381	0.00650646	0.3357091
ENSG00000108588	0.50437768	0.444309785
ENSG00000108651	0.316425715	0.125398615
ENSG00000108821	0.55427886	0.01079845
ENSG00000108852	0.001468715	0.179195045
ENSG00000108861	0.55261155	0.71734879
ENSG00000108878	0.000514315	0.001267355
ENSG00000108960	0.67366974	0.473856025
ENSG00000108984	0.03544878	0.06414243
ENSG00000109079	0.084733565	0.10242888
ENSG00000109158	0.00145937	0.30157544
ENSG00000109424	0.00046296	0.00046434
ENSG00000109606	0.11490862	0.063895325
ENSG00000109674	0.397706985	0.00049043
ENSG00000110011	0.41508769	0.28066935
ENSG00000110060	0.053572555	0.026123625
ENSG00000110079	0.006939285	0.005064095
ENSG00000110080	0.0841839	0.012232585
ENSG00000110321	7.15888755	4.3329366
ENSG00000110330	0.44492207	0.24885369
ENSG00000110484	0.00037878	0.00040849
ENSG00000110583	0.229460365	0.136234565
ENSG00000110651	4.39167782	7.55071386
ENSG00000110696	0.880746375	0.801617825
ENSG00000110799	0.014241415	0.71591938
ENSG00000110917	0.86716822	0.338281195
ENSG00000110921	0.23489568	0.161070255
ENSG00000111348	1.35105118	0.21103842
ENSG00000111667	0.504917955	0.59240824
ENSG00000111732	0.00038451	0.00040228
ENSG00000112033	0.648326595	0.74705882
ENSG00000112062	0.94238754	0.813800865
ENSG00000112077	0.447281655	0.00040849
ENSG00000112081	0.52282806	0.454986935
ENSG00000112118	2.683663365	0.23199052
ENSG00000112164	0.00200629	0.00189452
ENSG00000112182	0.039123365	0.07894574
ENSG00000112195	0.00080358	0.00046434
ENSG00000112337	0.00567981	0.00046434
ENSG00000112461	0.00643211	0.00049016
ENSG00000112578	0.458803885	0.09934816
ENSG00000112658	0.60733944	0.49650033
ENSG00000112685	0.21959884	0.19571986
ENSG00000112977	0.53170173	0.0672274
ENSG00000112983	0.880746375	0.801617825
ENSG00000112984	1.43455585	0.00064355
ENSG00000113068	0.496840125	0.67028036
ENSG00000113070	0.07485046	0.201701415
ENSG00000113494	0.007043275	0.00403458
ENSG00000113594	0.007140215	0.00133711
ENSG00000113838	0.15138192	0.14055159
ENSG00000113889	0.034275775	0.00609787
ENSG00000113905	0.001206535	0.00071095
ENSG00000113924	0.24242109	0.003700415
ENSG00000114013	0.02120957	0.015058195
ENSG00000114354	0.79691559	0.409836255
ENSG00000114383	0.006268535	0.01175954
ENSG00000114473	0.05047116	0.084089805
ENSG00000114520	0.746231785	0.746247505
ENSG00000114648	0.136635895	0.143151405
ENSG00000114738	0.564922145	0.142451605
ENSG00000114770	0.0362575	0.138600305
ENSG00000115009	0.491241995	0.000677855
ENSG00000115138	0.001775325	0.00077666
ENSG00000115163	0.16364112	0.00048939
ENSG00000115415	0.43201891	0.3911975
ENSG00000115457	1.04463564	0.048646365
ENSG00000115461	0.74669147	0.278727405
ENSG00000115540	0.3618923	0.59222256
ENSG00000115561	0.443128135	1.165750245
ENSG00000115594	0.071132775	0.03685991
ENSG00000115604	0.0026066	0.00526814
ENSG00000115648	1.23529826	0.011201085
ENSG00000115657	0.93592118	0.570515115
ENSG00000115919	0.71518223	0.0079378
ENSG00000115942	0.105067225	0.064579405
ENSG00000116039	0.0309429	0.003657665
ENSG00000116171	0.29370319	0.382107565
ENSG00000116478	0.96274499	0.097567805
ENSG00000116560	3.837361825	1.93539677
ENSG00000116754	2.262274835	1.777137165
ENSG00000116815	0.206961335	0.02486666
ENSG00000117054	0.098500145	0.1079458
ENSG00000117362	0.361136485	0.17032043
ENSG00000117394	1.75597083	0.72922914
ENSG00000117528	0.35303236	0.323650965
ENSG00000117595	0.014493445	0.191969085
ENSG00000117724	0.670464345	0.00632821
ENSG00000118217	0.885653835	0.806634595
ENSG00000118245	0.00037878	0.00040849
ENSG00000118503	0.858990775	0.06168206
ENSG00000118508	0.47720988	0.044246875
ENSG00000118513	1.20189416	0.00326523
ENSG00000118600	0.44393447	0.212026765
ENSG00000118777	0.125889855	0.4847473
ENSG00000118855	0.323712355	0.16163835
ENSG00000118900	0.327917995	0.22884501
ENSG00000119048	0.39519996	0.61664913
ENSG00000119139	0.19162909	0.409202875
ENSG00000119414	0.39146666	0.357123645
ENSG00000119487	0.24072027	0.183890835
ENSG00000119655	2.47536338	0.8575747
ENSG00000120063	0.84507388	0.641859395
ENSG00000120068	0.01193184	0.0004843
ENSG00000120211	0.010615515	0.00047418
ENSG00000120215	0.690442915	0.00044358
ENSG00000120251	0.006366185	1.634698865
ENSG00000120318	0.012571055	0.007514295
ENSG00000120662	0.04890376	0.042992815
ENSG00000120669	0.00511652	0.002622065
ENSG00000120685	0.106224615	0.102039005
ENSG00000120708	0.1486899	0.004941985
ENSG00000120756	0.079406935	0.026187045
ENSG00000120949	0.021689685	0.00087518
ENSG00000121270	0.00038451	0.00088565
ENSG00000121570	0.00038713	0.00040984
ENSG00000121594	0.00187032	0.000676385
ENSG00000121931	0.094146	0.02217252
ENSG00000121940	0.15503442	0.109893895
ENSG00000122025	0.000858225	0.09345711
ENSG00000122592	0.00579543	0.00048363
ENSG00000122729	0.75971082	0.355832275
ENSG00000122861	0.52197642	0.011841895
ENSG00000122971	0.417746605	0.232139385
ENSG00000123240	0.53218898	1.92756664
ENSG00000123384	0.275365345	0.57753717
ENSG00000123485	0.327002445	0.000426755
ENSG00000123505	1.304794725	1.477162205
ENSG00000123576	0.03382864	0.00040984
ENSG00000123843	0.129107795	0.00048939
ENSG00000123892	0.331597805	0.002174015
ENSG00000123975	0.08827563	0.00830542
ENSG00000124194	0.00254584	0.099076565
ENSG00000124491	0.00186083	0.14318183
ENSG00000124557	0.00116967	0.001513525
ENSG00000124568	0.0031266	0.00040849
ENSG00000124575	4.703532285	0.710033885
ENSG00000124588	0.54683769	0.430766525
ENSG00000124641	0.180718215	0.06306731
ENSG00000124664	0.054657065	0.00961225
ENSG00000124762	0.40321089	0.410220685
ENSG00000124882	0.0348124	0.00035166
ENSG00000124920	0.00038451	0.005379015
ENSG00000125037	0.89136333	0.97511251
ENSG00000125046	0.01706405	0.00048363
ENSG00000125084	0.000993065	0.00111558
ENSG00000125255	0.00037878	0.00040849
ENSG00000125257	0.18891325	0.03302089
ENSG00000125457	0.08004254	0.02367457
ENSG00000125462	0.00038713	0.06453738
ENSG00000125505	0.70379217	0.612065155
ENSG00000125522	0.032243745	0.04410794
ENSG00000125538	0.026232125	0.067437685
ENSG00000125630	0.146186865	0.042761725
ENSG00000125637	0.06108466	0.00883873
ENSG00000125648	0.430492865	1.55716365
ENSG00000125735	0.004890125	0.000642635
ENSG00000125746	0.051154315	0.179918265
ENSG00000126010	0.027769945	0.01107323
ENSG00000126353	0.00166784	0.000492235
ENSG00000126561	0.498761755	0.087568135
ENSG00000126581	0.22387871	0.410490845
ENSG00000126583	0.014888955	1.613366075
ENSG00000126767	0.585998695	0.698065105
ENSG00000126778	0.042539915	0.002654565
ENSG00000126787	0.17356968	0.00040984
ENSG00000126838	0.00050608	0.00047983
ENSG00000126861	0.00646206	1.544682975
ENSG00000127191	0.49391834	0.199383425
ENSG00000127329	0.02093789	0.064693995
ENSG00000127452	0.210915735	0.104701185
ENSG00000127588	0.001386665	0.192281205
ENSG00000127774	0.349721475	0.176340925
ENSG00000127831	0.037452395	0.00046434
ENSG00000127980	0.132586075	0.115596635
ENSG00000127990	0.173552895	0.194984715
ENSG00000128050	1.815670615	0.2599228
ENSG00000128052	0.0161722	0.09415199
ENSG00000128294	0.023984325	0.02087504
ENSG00000128340	0.153478	0.010739535
ENSG00000128563	0.48968418	0.50164619
ENSG00000128590	0.446749375	0.726708185
ENSG00000128606	0.058286185	0.006845145
ENSG00000128714	0.032578375	0.00047418
ENSG00000128886	0.01986502	0.02417237
ENSG00000128965	0.0091844	0.009709035
ENSG00000129038	0.437347265	0.005644905
ENSG00000129158	0.18572072	0.508961735
ENSG00000129159	0.00443759	0.850180945
ENSG00000129194	0.000952645	0.063549925
ENSG00000129226	0.76051921	0.20940487
ENSG00000129244	0.13481404	13.48626505
ENSG00000129514	0.823872605	0.00044358
ENSG00000129535	0.00423395	0.0044305
ENSG00000129559	2.624449665	2.4029672
ENSG00000129562	0.7909293	0.42069495
ENSG00000129595	0.020650675	0.088027855
ENSG00000130021	0.17496104	0.104667595
ENSG00000130045	0.04854192	0.008519585
ENSG00000130052	0.109030945	0.05780571
ENSG00000130164	0.438031025	0.131347475
ENSG00000130193	0.15579665	0.075868145
ENSG00000130287	0.001752245	0.242967995
ENSG00000130396	0.360977505	0.386148445
ENSG00000130427	0.00399302	0.00032397
ENSG00000130489	0.02392096	0.01703279
ENSG00000130544	0.11794898	0.186047825
ENSG00000130598	0.066663355	0.000517245
ENSG00000130643	0.021742425	4.7878258
ENSG00000130656	3.06198462	0.001618415
ENSG00000130816	0.79582357	0.19579405
ENSG00000130844	0.13398492	0.358978165
ENSG00000130940	0.006757755	0.00204344
ENSG00000130957	0.00043637	0.00704299
ENSG00000131095	0.21255732	45.736114075
ENSG00000131097	0.00038451	0.01889977
ENSG00000131187	0.00499523	0.00032397
ENSG00000131236	0.39803886	0.228517665
ENSG00000131264	0.00051	0.00048939
ENSG00000131398	0.00738065	0.002365915
ENSG00000131437	0.115727935	0.8851972
ENSG00000131482	0.10786913	0.00047418
ENSG00000131503	0.366671545	0.03217786
ENSG00000131759	0.56775743	0.26791296
ENSG00000131781	0.207223665	0.03153283
ENSG00000131910	0.168168145	0.00179668
ENSG00000131914	1.10994478	0.000780475
ENSG00000132002	0.991299665	1.121424375
ENSG00000132109	0.08198456	0.03348412
ENSG00000132170	0.13615635	0.04121458
ENSG00000132535	0.15189403	2.37250965
ENSG00000132646	3.89207555	0.408205145
ENSG00000132693	0.00042771	0.000389235
ENSG00000132773	0.057836485	0.015213615
ENSG00000132840	0.01065716	0.01075481
ENSG00000132849	0.063786075	0.09017275
ENSG00000132964	0.17945574	0.173857975
ENSG00000133020	0.00050608	0.00047983
ENSG00000133107	0.00117526	0.04533126
ENSG00000133169	0.001922835	0.19463071
ENSG00000133321	0.231461	0.3552506
ENSG00000133636	2.37057894	0.023593895
ENSG00000133961	0.547620195	0.575117805
ENSG00000133962	0.00133991	0.000802975
ENSG00000134013	1.789653995	0.04300745
ENSG00000134061	0.013779495	0.011557655
ENSG00000134240	0.004699865	0.000470555
ENSG00000134245	0.00628176	0.02622164
ENSG00000134262	0.14434036	0.205073115
ENSG00000134285	0.14491028	0.00423034
ENSG00000134333	27.45945684	3.67718614
ENSG00000134602	0.366671545	0.03217786
ENSG00000134716	0.022146095	0.239707795
ENSG00000134757	0.00042771	0.001310595
ENSG00000134812	0.00049723	0.00047418
ENSG00000134853	0.405280175	0.226873365
ENSG00000134899	0.46362601	0.438752445
ENSG00000134982	0.343114635	2.071282285
ENSG00000135046	0.504765705	0.054132815
ENSG00000135114	0.01510479	0.00623514
ENSG00000135119	0.000790285	0.00159472
ENSG00000135220	0.02883201	0.00040984
ENSG00000135333	0.00473146	0.05304183
ENSG00000135346	0.838851145	0.000632565
ENSG00000135365	0.012829535	0.192225795
ENSG00000135423	0.00995589	0.163931985
ENSG00000135446	3.953047795	0.44394002
ENSG00000135451	0.53002316	0.00074856
ENSG00000135452	0.19401305	0.21741565
ENSG00000135547	0.03228313	0.09196096
ENSG00000135636	0.0373108	0.04140412
ENSG00000135679	0.660642785	0.3226818
ENSG00000135740	0.04046155	0.08575878
ENSG00000135775	0.37705184	0.444526875
ENSG00000135903	0.02907425	0.01019148
ENSG00000135945	0.10144308	0.195012635
ENSG00000136040	0.177654845	0.21334084
ENSG00000136045	0.45247281	0.25613866
ENSG00000136108	0.179875865	0.05312717
ENSG00000136156	0.62393193	1.85367413
ENSG00000136244	0.0076413	0.00315373
ENSG00000136444	0.121521115	0.11708361
ENSG00000136457	0.003494245	0.378265815
ENSG00000136527	0.439672975	0.202773005
ENSG00000136535	0.00536358	1.126426025
ENSG00000136536	0.28531405	0.28611297
ENSG00000136688	0.000766595	0.00048363
ENSG00000136694	0.00044329	0.00048363
ENSG00000136807	0.5410005	0.650429305
ENSG00000136982	0.07425868	0.012728775
ENSG00000136997	3.67728058	0.09047554
ENSG00000137204	0.003939405	0.00131396
ENSG00000137274	0.329315405	0.194592515
ENSG00000137413	0.151700885	0.065930555
ENSG00000137491	0.01014859	0.071038785
ENSG00000137502	0.229037105	0.47275387
ENSG00000137563	0.475521155	0.122524965
ENSG00000137673	0.000671015	0.00047983
ENSG00000137745	0.00269184	0.00047983
ENSG00000137757	0.00051	0.001317695
ENSG00000137801	0.60207768	0.083275125
ENSG00000137877	0.002928605	0.018172615
ENSG00000138061	0.14786799	0.114061665
ENSG00000138075	0.04407209	0.005027645
ENSG00000138109	0.00042771	0.00032397
ENSG00000138180	0.275539675	0.000475035
ENSG00000138185	0.014413055	0.08660733
ENSG00000138356	0.10194189	0.01793356
ENSG00000138376	0.170703765	0.02503321
ENSG00000138378	0.004774095	0.153812535
ENSG00000138381	0.24741165	0.31370055
ENSG00000138399	0.186475455	0.24238556
ENSG00000138685	0.29088347	0.480574535
ENSG00000138798	0.028497425	0.00919215
ENSG00000138814	0.299693115	3.224371925
ENSG00000139220	0.009009585	1.23748187
ENSG00000139291	0.08506168	0.087128455
ENSG00000139329	0.86703227	0.01186496
ENSG00000139372	0.64435387	0.191947245
ENSG00000139618	0.213428345	0.003272605
ENSG00000139626	7.53668352	0.007580655
ENSG00000139629	0.02477795	0.03465781
ENSG00000139679	0.112645055	0.051237095
ENSG00000139687	0.375279295	0.19524607
ENSG00000139842	1.113036215	0.43228479
ENSG00000140030	0.00457566	0.020670095
ENSG00000140379	0.20875931	0.02465057
ENSG00000140465	0.008442625	0.001736055
ENSG00000140505	0.00044897	0.00032397
ENSG00000140538	0.001916175	0.440780095
ENSG00000140564	0.02050649	0.00047418
ENSG00000140598	0.17276197	0.071806765
ENSG00000140675	0.00037878	0.00040849
ENSG00000140986	0.002526325	0.00040849
ENSG00000140987	0.04355266	0.04419695
ENSG00000141293	0.01894163	0.0014253
ENSG00000141433	0.001394655	0.09358796
ENSG00000141510	2.53133567	0.230734145
ENSG00000141526	2.40215161	0.07866711
ENSG00000141527	0.004985055	0.00040228
ENSG00000141946	0.00037563	0.00044358
ENSG00000142149	0.07185585	0.18187448
ENSG00000142168	2.21903274	3.207877045
ENSG00000142619	0.00352464	0.00049016
ENSG00000142655	0.25644523	0.323947575
ENSG00000142871	0.66250324	0.0896578
ENSG00000142910	0.070667025	0.105923685
ENSG00000143106	0.73667195	0.22850517
ENSG00000143257	0.00050608	0.00047983
ENSG00000143365	0.02053014	0.025993325
ENSG00000143476	0.630693455	0.00123902
ENSG00000143546	0.00259705	0.108514455
ENSG00000143653	0.618423565	0.65779072
ENSG00000143748	0.21603362	0.097713345
ENSG00000144283	0.03961598	0.10507185
ENSG00000144366	0.013538095	0.00048363
ENSG00000144827	0.38349233	0.639713065
ENSG00000144834	0.04110149	5.00495596
ENSG00000144843	0.020946385	0.02634095
ENSG00000144848	0.34233159	0.327905055
ENSG00000144909	0.11473278	0.122287075
ENSG00000144935	0.126627175	0.63691635
ENSG00000145020	0.025440945	0.04244824
ENSG00000145050	1.25383928	0.399271585
ENSG00000145192	26.24112377	0.00048939
ENSG00000145386	0.223208455	0.000622705
ENSG00000145545	0.30927764	0.31377283
ENSG00000145569	0.00712669	0.00794191
ENSG00000145649	0.00065559	0.000855265
ENSG00000145703	0.15374298	0.005307765
ENSG00000145740	1.145760905	0.64798933
ENSG00000145863	0.003308715	0.873557655
ENSG00000146378	0.00318759	0.00048363
ENSG00000146463	0.7285295	0.95938227
ENSG00000146648	0.1287675	0.068699035
ENSG00000146678	1.86349249	0.00187122
ENSG00000146729	0.909577895	0.77483762
ENSG00000147100	0.02947344	0.05474864
ENSG00000147140	2.206388965	0.59882206
ENSG00000147166	0.030827115	0.006659025
ENSG00000147408	0.17842655	0.274403105
ENSG00000147488	0.00307007	0.707729615
ENSG00000147571	0.00042771	0.01190586
ENSG00000147588	0.01090663	3.39153297
ENSG00000148082	0.02925208	0.51113163
ENSG00000148154	0.29286299	0.25125101
ENSG00000148291	0.13850956	0.07077385
ENSG00000148308	0.8897939	0.67160807
ENSG00000148444	0.33606458	0.36075043
ENSG00000148516	0.15942232	0.2949238
ENSG00000148688	0.462569895	0.375900325
ENSG00000148702	0.00086242	0.015721525
ENSG00000148926	0.59569271	0.090966045
ENSG00000149311	0.096609115	0.064597595
ENSG00000149489	0.00526801	0.067951785
ENSG00000149548	0.043472225	0.0065979
ENSG00000149554	0.076450605	0.001954605
ENSG00000150526	0.024524375	0.00051246
ENSG00000150961	0.56935435	0.183023245
ENSG00000150991	8.15159803	11.06963528
ENSG00000151079	0.025493625	0.164401915
ENSG00000151090	0.07215117	0.586955735
ENSG00000151116	0.109292585	0.092937475
ENSG00000151365	0.008383545	0.01701458
ENSG00000151422	0.38965096	0.536131795
ENSG00000151470	0.098898245	0.15502985
ENSG00000151655	1.58764619	0.02211684
ENSG00000151702	0.117087235	0.05786081
ENSG00000151729	0.63661908	3.269819675
ENSG00000151806	0.2471492	0.21894893
ENSG00000152049	0.15310745	0.06026257
ENSG00000152229	0.03589541	0.00494798
